Version,generalInfo,distance,update,cost
"1996 MAZDA RX7, RX 7 โฉม ปี92-97",สีเขียว เกียร์ธรรมดา ทะเบียน 1กณ5606 กรุงเทพฯ,"260,000 ",อัพเดท  2 วัน ผู้เข้าชม  3216,"2,990,000"
"1997 MAZDA RX7, RX 7 โฉม ปี92-97",สีเขียว เกียร์ธรรมดา ทะเบียน 1กฌ5606 กรุงเทพฯ,"26,898 ",อัพเดท  5 วัน ผู้เข้าชม  3099,"2,790,000"
"2003 MAZDA FIGHTER, 2.5 FREESTYLECAB LUX (WLT) โฉม SUPER CAB/FREE STYLE",สี เกียร์ธรรมดา ทะเบียน 1ฒอ4479 กรุงเทพฯ,"350,000 ",อัพเดท  3 วัน ผู้เข้าชม  3534,"128,000"
"2003 MAZDA MX5, MX-5 1.8 โฉม ปี02-05",สีเหลือง  เกียร์ธรรมดา ทะเบียน พว554 กรุงเทพฯ,"70,280 ",อัพเดท  1 วัน ผู้เข้าชม  2620,"978,000"
"2004 MAZDA TRIBUTE, 3.0 V6 โฉม ปี03-07",สีน้ำตาล เกียร์ออโต้ ทะเบียน 3ขภ9716 กรุงเทพฯ,"240,000 ",อัพเดท  3 ชม. ผู้เข้าชม  2981,"129,000"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน ศล5386 กรุงเทพฯ,"282,000 ",อัพเดท  3 วัน ผู้เข้าชม  1180,"110,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน ชข578 กรุงเทพฯ,"278,000 ",อัพเดท  3 สัปดาห์ ผู้เข้าชม  4086,"120,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีน้ำตาล เกียร์ออโต้ ทะเบียน 5กส5626 กรุงเทพฯ,"220,000 ",อัพเดท  1 วัน ผู้เข้าชม  2784,"125,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีเทา เกียร์ออโต้ ทะเบียน ศย7998 กรุงเทพฯ,"163,000 ",อัพเดท  8 ชม. ผู้เข้าชม  2330,"149,000 บาทราคาป้ายแดง842"
"2005 MAZDA MAZDA3, 2.0 SPORT โฉม ปี05-10 5Dr",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน ศห326 กรุงเทพฯ,"59,733 ",อัพเดท  5 วัน ผู้เข้าชม  1003,"168,000 บาทราคาป้ายแดง984"
