id,year,tabian,name,addName,salePrice,notSalePrice,distance,fuel,gear,color,injure,door,address,web,webid,date
1,2015,กญ-6624,2014 Mazda 3,2.0 S Sports,,"366,000","194,070",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Trunk/Boot/Boot Door  -  Dentedมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640032296/
",2023-10-28
2,2014,กว-4827,2014 Mazda 3,2.0 Sp Sports,"439,700","453,300","146,460",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Interior Storage + Centre Console  -  Damagedมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640016763/
",2023-10-28
3,2014,กต-7248,2014 Mazda 3,2.0 Sp Sports,,"448,600","80,286",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640038424/
",2023-10-28
4,2016,กง-627,2015 Mazda 2,1.5 Skyactiv Xd Sports High Plus,"373,500","435,000","72,599",ดีเซล,เกียร์อัตโนมัติ,ขาว,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดLights + Tail Light + LHS  -  Scratchedมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6630008824/
",2023-10-28
5,2016,กส-8235,2015 Mazda 3,2.0 Sp Sports,"453,300","460,200","115,881",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,พบตำหนิเล็กน้อย 2 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Pillar + LHS C  -  ScratchedExterior + Tyres + Pillar + RHS C  -  Scratched Nextมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6630010276/
",2023-10-28
6,2016,ขน-6310,2015 Mazda 2,1.3 Skyactiv Sports High Plus,"329,800","349,700","115,700",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Dashboard  -  Scratches on switches or dashboardมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640022211/
",2023-10-28
7,2015,กว-7439,2015 Mazda 3,2.0 S Sports,"403,700","433,000","89,801",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6630010274/
",2023-10-28
8,2016,กช-1008,2015 Mazda 2,1.3 Skyactiv Sports High Plus,"336,400","356,800","56,756",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640024162/
",2023-10-28
9,2017,กฮ-5505,2016 Mazda Cx-3,2.0 Sp,,"488,600","117,116",เบนซิน,เกียร์อัตโนมัติ,ขาว,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Trunk/Boot/Boot Door  -  Dentedมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-cx-3-car-THA6640017855/
",2023-10-28
10,2017,กศ-8755,2016 Mazda Cx-3,2.0 S,"459,700","478,800","108,776",เบนซิน,เกียร์อัตโนมัติ,ดำ,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Grill  -  Damagedมาตรฐานการตรวจสอบของเรา,5,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-cx-3-car-THA6640036870/
",2023-10-28
