,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
635,2010,Mazda,2,1.5,Sports Groove,Hatchback,AT,9.0,14.0,gray,90331,2023-10-25,mazda-2-sports-groove-ภาคใต้-อำเภอเมืองภูเก็ต/12209863,229000
636,2022,Mazda,CX-30,2.0,S,SUV,AT,20.0,25.0,gray,22147,2023-10-25,mazda-cx-30-s-ภาคใต้-อำเภอเมืองภูเก็ต/12800692,799000
637,2020,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,79505,2023-10-25,mazda-cx-5-xdl-ภาคใต้-อำเภอเมืองภูเก็ต/12759831,799000
638,2016,Mazda,3,2.0,Racing Series Limited Edition,Sedan,AT,14.0,18.0,red,77500,2023-10-25,mazda-3-racing-series-limited-edition-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12320080,419000
639,2014,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,87500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12511939,419000
640,2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,92500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12379727,359000
641,2022,Mazda,CX-30,2.0,C,SUV,AT,20.0,25.0,brown,52500,2023-10-25,mazda-cx-30-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11645450,699000
642,2016,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,white,122500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12533206,298000
643,2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,gray,47500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อ่อนนุช/12653713?auc=true,379000
644,2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,30000,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12660712,838000
645,2014,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,blue,122500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12289485,359900
646,2017,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,brown,120000,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11992227,528000
647,2020,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,white,90000,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12141577,738000
648,2016,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,red,92500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11899700?auc=true,519000
649,2021,Mazda,3,2.0,Sports 100th Anniversary Edition,Hatchback,AT,19.0,24.0,white,40000,2023-10-25,mazda-3-sports-100th-anniversary-edition-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12604478,838000
650,2020,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,22.0,red,82500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11677776?auc=true,449000
651,2012,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,black,117500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12566610?auc=true,179000
652,2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,52500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/11961517?auc=true,389000
653,2010,Mazda,2,1.5,S,Hatchback,AT,9.0,14.0,gray,152500,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12721547?auc=true,179000
654,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,47500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12780942,421900
655,2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer PROSERIES,Pickup,MT,,,white,192500,2023-10-25,mazda-bt-50-pro-hi-racer-proseries-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12820323,299000
