,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
0,2015,Mazda,2,1.5,Sports Maxx Sports,Hatchback,AT,9.0,14.0,white,140000,2023-10-25,mazda-2-sports-maxx-sports-กรุงเทพและปริมณฑล-มีนบุรี/12578114,245000
1,2012,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,brown,82000,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-มีนบุรี/10980528,269000
2,2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,37500,2023-10-25,mazda-2-s-leather-ภาคอีสาน-อำเภอเมืองร้อยเอ็ด/12772555,390000
3,2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,red,82500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอบางพลี/12745479,650000
4,2016,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,152500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12846477,357900
5,2021,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,gray,18033,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-มีนบุรี/12777830?auc=true,549000
6,2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,22.0,red,37500,2023-10-25,mazda-2-high-connect-ภาคอีสาน-อำเภอเมืองอุดรธานี/11348706,405000
7,2016,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,brown,157500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12856098,354900
8,2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,white,41000,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12430853?auc=true,459000
9,2017,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,white,53040,2023-10-25,mazda-2-sports-high-plus-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12799458?auc=true,378000
10,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,111092,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12290745?carsome=true,335900
11,2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,77500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12860089,465900
12,2018,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,brown,37500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอเมืองชลบุรี/11958860,439000
13,2014,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,white,2500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12189320?auc=true,395000
14,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,32500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12847768,418900
15,2022,Mazda,2,1.3,S,Sedan,AT,15.0,25.0,black,10486,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12767573?auc=true,459999
16,2018,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,142500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12294613?carsome=true,512900
17,2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,65472,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12284681?carsome=true,758900
18,2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,red,37569,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12067309?carsome=true,361900
19,2018,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,gray,72500,2023-10-25,mazda-2-high-plus-ภาคเหนือ-อำเภอพาน/12494069,349000
20,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,white,202500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12566234,189000
21,2017,Mazda,2,1.3,High,Sedan,AT,15.0,25.0,red,92500,2023-10-25,mazda-2-high-ภาคตะวันออก-อำเภอเมืองชลบุรี/12713804?auc=true,359000
22,2021,Mazda,CX-3,2.0,Base Plus,SUV,AT,15.0,22.0,gray,32500,2023-10-25,mazda-cx-3-base-plus-ภาคตะวันออก-อำเภอเมืองชลบุรี/12713655?auc=true,599000
23,2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,117500,2023-10-25,mazda-3-s-ภาคตะวันออก-อำเภอเมืองชลบุรี/8928162?auc=true,459000
24,2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,127500,2023-10-25,mazda-3-s-sports-ภาคตะวันออก-อำเภอเมืองชลบุรี/12172933?auc=true,519000
25,2014,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13.0,16.0,gray,82500,2023-10-25,mazda-cx-5-xdl-ภาคใต้-อำเภอถลาง/12858020,500000
26,2021,Mazda,CX-3,2.0,Comfort,SUV,AT,15.0,22.0,gray,52500,2023-10-25,mazda-cx-3-comfort-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12835110,579000
27,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,132500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12553996,309000
28,2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,47500,2023-10-25,mazda-2-high-connect-ภาคตะวันออก-อำเภอศรีราชา/12627168,450000
29,2017,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,white,92500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12856819,415000
30,2016,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,blue,152500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12815141,357900
31,2019,Mazda,CX-5,2.5,Turbo SP 4WD,SUV,AT,17.0,23.0,red,24086,2023-10-25,mazda-cx-5-turbo-sp-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12310127,922900
32,2023,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,red,27787,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12632856?auc=true,869999
33,2020,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,gray,134105,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12588550?auc=true,799000
34,2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,17500,2023-10-25,mazda-cx-30-sp-ภาคตะวันตก-อำเภอหัวหิน/12793514,869000
35,2017,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,25.0,red,137500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12675645,298000
36,2012,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,white,12500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-ลำลูกกา/12636964,220000
37,2011,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,blue,127500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12189481,278000
38,2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,140058,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12162865?carsome=true,371900
39,2019,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,gray,162500,2023-10-25,mazda-2-xd-high-plus-l-ภาคตะวันออก-อำเภอศรีราชา/12648861,369000
40,2022,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,gray,22450,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12643457?auc=true,799000
41,2018,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,black,107500,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12625927,379000
42,2015,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,gray,147500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11847834,419000
43,2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,22.0,gray,37461,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12127275?auc=true,347000
44,2011,Mazda,MX-5,2.0,,Convertible,AT,5.0,15.0,black,137500,2023-10-25,mazda-mx-5-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/12815094,1150000
45,2022,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,white,28000,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-อำเภอธัญบุรี/12023033,428000
46,2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,brown,172500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12574274,259000
47,2022,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,30000,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-อำเภอธัญบุรี/12823917,448000
48,2021,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,gray,42500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-อำเภอเมืองนนทบุรี/12698213,419000
49,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,67500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อำเภอเมืองนนทบุรี/12687271,369000
50,2020,Mazda,2,1.3,E,Sedan,AT,15.0,25.0,white,37500,2023-10-25,mazda-2-e-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12743417?carsome=true,404900
51,2016,Mazda,2,1.3,High Connect,Hatchback,AT,15.0,25.0,blue,117500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12642221?auc=true,299000
52,2015,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,117500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12182055,369000
53,2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,74330,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12317350?auc=true,334000
54,2013,Mazda,3,1.6,S Plus,Hatchback,AT,11.0,14.0,red,117500,2023-10-25,mazda-3-s-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12003729,269000
55,2017,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,black,152500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11969985,559000
56,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,silver,93175,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12777919?auc=true,389000
57,2019,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,blue,48505,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-มีนบุรี/11880382?auc=true,409000
58,2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,33639,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12495098?auc=true,454000
59,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,62684,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/11537940?auc=true,389000
60,2022,Mazda,2,1.3,C,Sedan,AT,15.0,25.0,silver,22500,2023-10-25,mazda-2-c-กรุงเทพและปริมณฑล-มีนบุรี/12710835?auc=true,434000
61,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,silver,93175,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12762126?auc=true,389000
62,2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,55742,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12495085?auc=true,454000
63,2022,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,white,15913,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-มีนบุรี/11935622?auc=true,479000
64,2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,brown,112712,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-มีนบุรี/12803136?auc=true,399000
65,2019,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,red,46060,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-มีนบุรี/12597537?auc=true,419000
66,2020,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,red,62500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12710848?auc=true,444000
67,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,32500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ลำลูกกา/12835491,369000
68,2016,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,gray,147500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12839822,430000
69,2010,Mazda,2,1.5,Maxx Sports,Hatchback,AT,9.0,14.0,green,97500,2023-10-25,mazda-2-maxx-sports-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12531817?auc=true,179000
70,2020,Mazda,MX-5,2.0,30th Anniversary,Convertible,MT,16.0,20.0,orange,7500,2023-10-25,mazda-mx-5-30th-anniversary-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12642830,2990000
71,2016,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,brown,162500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-อำเภอสามโคก/12510851,299999
72,2017,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,red,52500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-ลำลูกกา/12469647,480000
73,2013,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,blue,127500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12809838,249000
74,2018,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,silver,62500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12677022,530000
75,2020,Mazda,CX-3,2.0,Comfort,SUV,AT,15.0,22.0,black,47500,2023-10-25,mazda-cx-3-comfort-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12593412,520000
76,2015,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,black,122500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11764808?auc=true,339000
77,2020,Mazda,2,1.3,S,Sedan,AT,15.0,25.0,gray,83377,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12759578?carsome=true,447900
78,2016,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,white,57500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12381855,325000
79,2010,Mazda,2,1.5,Groove,Sedan,MT,9.0,14.0,gray,117500,2023-10-25,mazda-2-groove-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12735925,160000
80,2014,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,sky,102206,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12090945?carsome=true,356900
81,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,73842,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12759609?carsome=true,418900
82,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,177500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12730419,376900
83,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,72500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12849237,418900
84,2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,brown,102500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12854043,528900
85,2017,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,blue,82500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12854089,453900
86,2014,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,62500,2023-10-25,mazda-3-s-sports-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/12526233,429000
87,2014,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,241543,2023-10-25,mazda-3-s-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/11601394,389000
88,2017,Mazda,2,1.5,XD Sports High Connect,Hatchback,AT,15.0,25.0,brown,72500,2023-10-25,mazda-2-xd-sports-high-connect-ภาคกลาง-อำเภอเมืองพิษณุโลก/12819172,399999
89,2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,black,77500,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12456699,456900
90,2021,Mazda,2,1.3,C Sports,Hatchback,AT,15.0,25.0,black,12500,2023-10-25,mazda-2-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12506369,460900
91,2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,152500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12856537,433900
92,2016,Mazda,2,1.5,XD Sport High Plus L,Hatchback,AT,15.0,25.0,blue,102500,2023-10-25,mazda-2-xd-sport-high-plus-l-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12330648?carsome=true,384900
93,2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,37500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12839291,789000
94,2016,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,gray,92500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12723978,419000
95,2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12670399,371900
96,2010,Mazda,3,2.0,Maxx Sports,Hatchback,AT,5.0,10.0,white,152500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12765684?auc=true,169000
97,2019,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,black,63437,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12306869?carsome=true,753900
98,2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,152732,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12856546?carsome=true,433900
99,2016,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12539216,428000
100,2013,Mazda,BT-50 PRO,2.2,DOUBLE CAB V,Pickup,MT,,,gray,172500,2023-10-25,mazda-bt-50-pro-v-ภาคตะวันออก-อำเภอบ้านค่าย/12809787,225000
101,2006,Mazda,RX-8,1.3,Roadster,Coupe,AT,3.0,8.0,black,117500,2023-10-25,mazda-rx-8-roadster-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12388517,550000
102,2017,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,57500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อ่อนนุช/12356387,350000
103,2017,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,black,122500,2023-10-25,mazda-cx-5-xdl-ภาคตะวันตก-อำเภอเมืองราชบุรี/12405917,750000
104,2014,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,brown,2500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9347264?auc=true,329000
105,2012,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,red,2500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9827342?auc=true,229000
106,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,52500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอบางพลี/12687481,375000
107,2014,Mazda,CX-5,2.0,C,SUV,AT,13.0,16.0,white,12500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12578009,379000
108,2017,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,,,black,2500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12680857?auc=true,299000
109,2013,Mazda,2,1.5,Sports Spirit,Hatchback,AT,9.0,14.0,white,67500,2023-10-25,mazda-2-sports-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12859050,178000
110,2006,Mazda,3,2.0,R Sport,Hatchback,AT,5.0,10.0,blue,2500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/10171360?auc=true,139000
111,2010,Mazda,3,1.6,Spirit,Sedan,AT,5.0,10.0,silver,2500,2023-10-25,mazda-3-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725331?auc=true,149000
112,2017,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,brown,137500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12751835,545000
113,2019,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,22.0,gray,2500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12035859?auc=true,319000
114,2016,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,white,2500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12761216?auc=true,319000
115,2019,Mazda,2,1.3,Standard,Sedan,AT,15.0,22.0,black,2500,2023-10-25,mazda-2-standard-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/10171598?auc=true,319900
116,2011,Mazda,2,1.5,Sports Groove,Hatchback,AT,9.0,14.0,white,162500,2023-10-25,mazda-2-sports-groove-ภาคใต้-อำเภอเมืองปัตตานี/12603193,155000
117,1992,Mazda,RX-7,1.3,,Coupe,MT,92.0,0.0,white,2500,2023-10-25,mazda-rx-7-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12650906,2790000
118,2021,Mazda,CX-3,2.0,Base Plus,SUV,AT,15.0,22.0,red,22500,2023-10-25,mazda-cx-3-base-plus-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12589931,595000
119,2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,white,2500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11225895?auc=true,159000
120,2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,127500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12697494,388900
121,2018,Mazda,CX-5,2.0,SP,SUV,AT,17.0,23.0,white,57500,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12484602,719000
122,2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,brown,102500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12671651?auc=true,359000
123,2017,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,brown,82500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12709724,417900
124,2019,Mazda,2,1.3,High,Sedan,AT,15.0,22.0,black,72500,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11072619,329000
125,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,blue,27500,2023-10-25,mazda-2-elegance-spirit-ภาคอีสาน-อำเภอเมืองอุบลราชธานี/12646344,150000
126,2014,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,102500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12413356,419000
127,2012,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,white,16004,2023-10-25,mazda-3-spirit-sports-ภาคเหนือ-อำเภอดอยสะเก็ด/12558120,259000
128,2017,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,black,177500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อำเภอลำลูกกา/12443651,500000
129,2013,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,black,131087,2023-10-25,mazda-3-maxx-sports-ภาคเหนือ-อำเภอดอยสะเก็ด/12308048,269000
130,2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,137500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12697501,388900
