car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2021,Mazda,CX-3,2.0,Comfort,SUV,AT,15.0,22.0,gray,52500,2023-10-25,mazda-cx-3-comfort-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12835110,579000
2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,132500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12553996,309000
2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,47500,2023-10-25,mazda-2-high-connect-ภาคตะวันออก-อำเภอศรีราชา/12627168,450000
2017,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,white,92500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12856819,415000
2016,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,blue,152500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12815141,357900
2019,Mazda,CX-5,2.5,Turbo SP 4WD,SUV,AT,17.0,23.0,red,24086,2023-10-25,mazda-cx-5-turbo-sp-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12310127,922900
2023,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,red,27787,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12632856?auc=true,869999
2020,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,gray,134105,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12588550?auc=true,799000
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,17500,2023-10-25,mazda-cx-30-sp-ภาคตะวันตก-อำเภอหัวหิน/12793514,869000
2017,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,25.0,red,137500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12675645,298000
2012,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,white,12500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-ลำลูกกา/12636964,220000
2011,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,blue,127500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12189481,278000
2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,140058,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12162865?carsome=true,371900
2019,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,gray,162500,2023-10-25,mazda-2-xd-high-plus-l-ภาคตะวันออก-อำเภอศรีราชา/12648861,369000
2022,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,gray,22450,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12643457?auc=true,799000
2018,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,black,107500,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12625927,379000
