car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2019,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,22.0,black,47315,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11837526?auc=true,437000
2012,Mazda,BT-50 PRO,3.2,DOUBLE CAB R 4WD,Pickup,AT,,,sky,222500,2023-10-25,mazda-bt-50-pro-r-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12343152?auc=true,344000
2012,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,gray,162500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12231026?auc=true,244000
2017,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,brown,122500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12291787?auc=true,444000
2012,Mazda,2,1.5,Spirit,Sedan,AT,9.0,14.0,gray,157500,2023-10-25,mazda-2-spirit-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12065729?auc=true,154000
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,67500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12590198?auc=true,754000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,gray,102500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12296405?auc=true,344000
2012,Mazda,2,1.5,Sports Groove,Hatchback,MT,9.0,14.0,white,97500,2023-10-25,mazda-2-sports-groove-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12475575?auc=true,134000
2011,Mazda,2,1.5,Sports Spirit,Hatchback,AT,9.0,14.0,green,2500,2023-10-25,mazda-2-sports-spirit-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12840655,189000
2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,white,157500,2023-10-25,mazda-2-elegance-spirit-ภาคตะวันออก-อำเภอเมืองระยอง/12603655,199000
2014,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,red,22500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-พระราม3-สาทร-พระราม4/12840575,270000
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,blue,32500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อ่อนนุช/12762286,829000
2011,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,white,167500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-มีนบุรี/9285469,195000
2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,22.0,red,107500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11570821?auc=true,359000
2020,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,black,28246,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12323766?auc=true,438000
2016,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,127500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12813172,335000
2020,Mazda,3,2.0,SP Sports,Hatchback,AT,19.0,24.0,white,2500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12763279,819000
2018,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,red,87500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12244376?auc=true,454000
2016,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,25.0,white,82500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12578880,299000
2020,Mazda,CX-8,2.5,SP,SUV,AT,19.0,25.0,red,122500,2023-10-25,mazda-cx-8-sp-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12660568,799000
2017,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,white,107500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อ่อนนุช/12653796?auc=true,399999
2020,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,red,82500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11708288?auc=true,448000
2013,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,gray,122500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12108573?auc=true,239000
2019,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,gray,134000,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12727669?auc=true,459000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,white,172197,2023-10-25,mazda-2-high-connect-ภาคเหนือ-อำเภอเมืองลำปาง/12838391,310000
2017,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,red,107500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12783741?auc=true,459000
2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,2500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอเมืองปทุมธานี/12711802,849000
2018,Mazda,CX-5,2.0,SP,SUV,AT,17.0,23.0,white,100509,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12430119?auc=true,698000
2017,Mazda,2,1.5,XD Sports High Connect,Hatchback,AT,15.0,25.0,blue,87500,2023-10-25,mazda-2-xd-sports-high-connect-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12837803,348000
2021,Mazda,CX-3,2.0,Base Plus,SUV,AT,15.0,22.0,gray,23785,2023-10-25,mazda-cx-3-base-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12167517?auc=true,598000
2018,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,red,132500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12791890?auc=true,469000
2021,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,white,67500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12788816?auc=true,459000
2012,Mazda,2,1.5,Sports Groove,Hatchback,MT,9.0,14.0,white,77500,2023-10-25,mazda-2-sports-groove-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12788649?auc=true,189000
2013,Mazda,2,1.5,Sports Spirit,Hatchback,AT,9.0,14.0,red,117500,2023-10-25,mazda-2-sports-spirit-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/12835730,225000
2018,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,brown,67500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12531279,571900
2019,Mazda,CX-5,2.0,C,SUV,AT,17.0,23.0,gray,102500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12380060,586900
2014,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,sky,102500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12379928,356900
2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,17500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12639500,826900
2017,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,black,51000,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12835721,459000
2021,Mazda,2,1.3,C,Sedan,AT,15.0,25.0,white,42500,2023-10-25,mazda-2-c-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12788343?auc=true,464000
2014,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,gray,119217,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12528895?auc=true,358000
2020,Mazda,3,2.0,S,Sedan,AT,19.0,24.0,gray,39672,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12528829?auc=true,698000
2014,Mazda,CX-5,2.0,C,SUV,AT,13.0,16.0,white,107179,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12696114?auc=true,388000
2018,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,32665,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12399630?auc=true,528000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,brown,47276,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12568434?auc=true,418000
2021,Mazda,2,1.3,C Sports,Hatchback,AT,15.0,25.0,gray,27500,2023-10-25,mazda-2-c-sports-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/12553339,439000
2015,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,white,87558,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12569532?auc=true,348000
2013,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,,,blue,297500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12784353?auc=true,349000
2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,black,77500,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12524160,456900
2018,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,142500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12421946,512900
2016,Mazda,2,1.5,XD Sport High Plus L,Hatchback,AT,15.0,25.0,red,152500,2023-10-25,mazda-2-xd-sport-high-plus-l-ภาคตะวันออก-อำเภอเมืองจันทบุรี/12834999,389000
2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,gray,77500,2023-10-25,mazda-2-sports-high-connect-ภาคอีสาน-อำเภอเมืองขอนแก่น/12834660?auc=true,398000
2006,Mazda,3,2.0,R Sport,Hatchback,AT,5.0,10.0,blue,2500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/10234865?auc=true,159000
2015,Mazda,2,1.5,XD Sport High Plus L,Hatchback,AT,15.0,22.0,brown,2500,2023-10-25,mazda-2-xd-sport-high-plus-l-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11908986?auc=true,349000
2017,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,black,54817,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12204858?auc=true,360000
2018,Mazda,CX-5,2.0,C,SUV,AT,17.0,23.0,black,92500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12772153,679000
2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,red,107500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12168921,155000
2015,Mazda,2,1.3,High Connect,Sedan,AT,15.0,22.0,blue,107500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11271318,299000
2019,Mazda,CX-5,2.0,SP,SUV,AT,17.0,23.0,gray,170000,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12769933,615000
2016,Mazda,CX-3,1.5,XDL,SUV,AT,15.0,22.0,black,120000,2023-10-25,mazda-cx-3-xdl-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12367535,475000
2016,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,brown,80000,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12833350,326000
2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,18935,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12554787?carsome=true,826900
2018,Mazda,BT-50 PRO,2.2,FREE STYLE CAB V,Pickup,MT,,,gray,42500,2023-10-25,mazda-bt-50-pro-v-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12493792?carsome=true,350900
2014,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,gold,100000,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12175876,298000
2014,Mazda,2,1.5,Sports Maxx Sports,Hatchback,AT,9.0,14.0,red,100000,2023-10-25,mazda-2-sports-maxx-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/10896863,288000
2013,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,sky,207500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคกลาง-อำเภอเมืองสระบุรี/12832475,275000
2018,Mazda,CX-5,2.0,C,SUV,AT,17.0,23.0,silver,102500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/11261893?auc=true,659000
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,red,32500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11909085?auc=true,829000
2020,Mazda,2,1.3,High,Sedan,AT,15.0,25.0,gray,52500,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12754345?auc=true,359000
2015,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13.0,16.0,gray,142500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12323152,428000
2016,Mazda,2,1.5,XD High,Sedan,AT,15.0,22.0,red,112500,2023-10-25,mazda-2-xd-high-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12312377,288000
2018,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,gray,2500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11283696?auc=true,568000
2020,Mazda,BT-50 PRO,2.2,FREE STYLE CAB THUNDER Hi-Racer,Pickup,MT,,,white,92191,2023-10-25,mazda-bt-50-pro-thunder-hi-racer-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12492477?auc=true,399000
2017,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,brown,12500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12831884,348000
2014,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,red,157500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12794826,339000
2010,Mazda,RX-8,1.3,Roadster,Coupe,AT,3.0,8.0,silver,62500,2023-10-25,mazda-rx-8-roadster-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11929445,815000
2012,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,white,296959,2023-10-25,mazda-3-maxx-sports-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/12621624?auc=true,279000
2014,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,white,167500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/10000983?auc=true,458000
2016,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,100471,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12762155,318000
2020,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,silver,2500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12431361?auc=true,439000
2012,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,white,142500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12730604?auc=true,165000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,82500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12784535,319000
2020,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,white,22500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12732515?auc=true,629000
2020,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,17500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12332539,455000
2010,Mazda,2,1.5,Groove,Sedan,MT,9.0,14.0,black,2500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/10703475,159000
2017,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,black,62500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12511695,479000
2017,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,gray,137500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12511804,488000
2019,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,white,42500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12669051,549000
2018,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,blue,62500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12483556,550000
2013,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,gray,102039,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12413881,239000
2018,Mazda,2,1.3,High,Sedan,AT,15.0,25.0,black,28234,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-อ่อนนุช/8670243,379000
2010,Mazda,2,1.5,Sports Groove,Hatchback,AT,9.0,14.0,gray,90331,2023-10-25,mazda-2-sports-groove-ภาคใต้-อำเภอเมืองภูเก็ต/12209863,229000
2022,Mazda,CX-30,2.0,S,SUV,AT,20.0,25.0,gray,22147,2023-10-25,mazda-cx-30-s-ภาคใต้-อำเภอเมืองภูเก็ต/12800692,799000
2020,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,79505,2023-10-25,mazda-cx-5-xdl-ภาคใต้-อำเภอเมืองภูเก็ต/12759831,799000
2016,Mazda,3,2.0,Racing Series Limited Edition,Sedan,AT,14.0,18.0,red,77500,2023-10-25,mazda-3-racing-series-limited-edition-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12320080,419000
2014,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,87500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12511939,419000
2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,92500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12379727,359000
2022,Mazda,CX-30,2.0,C,SUV,AT,20.0,25.0,brown,52500,2023-10-25,mazda-cx-30-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11645450,699000
2016,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,white,122500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12533206,298000
2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,gray,47500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อ่อนนุช/12653713?auc=true,379000
2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,30000,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12660712,838000
2014,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,blue,122500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12289485,359900
2017,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,brown,120000,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11992227,528000
2020,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,white,90000,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12141577,738000
2016,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,red,92500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11899700?auc=true,519000
2021,Mazda,3,2.0,Sports 100th Anniversary Edition,Hatchback,AT,19.0,24.0,white,40000,2023-10-25,mazda-3-sports-100th-anniversary-edition-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12604478,838000
2020,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,22.0,red,82500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11677776?auc=true,449000
2012,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,black,117500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12566610?auc=true,179000
2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,52500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/11961517?auc=true,389000
2010,Mazda,2,1.5,S,Hatchback,AT,9.0,14.0,gray,152500,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12721547?auc=true,179000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,47500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12780942,421900
2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer PROSERIES,Pickup,MT,,,white,192500,2023-10-25,mazda-bt-50-pro-hi-racer-proseries-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12820323,299000
2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,brown,12500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12802011,349000
2017,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13.0,16.0,white,137500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12640024,558000
2017,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12761606?auc=true,469000
2015,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,gray,2500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12732270?auc=true,329000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,white,2500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-ติวานนท์-ปทุมธานี/12265123,388000
2020,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,white,39113,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคอีสาน-อำเภอเมืองนครราชสีมา/12814461?auc=true,298000
2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,blue,52500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/11532637,430000
2005,Mazda,3,2.0,R Sport,Hatchback,AT,5.0,10.0,blue,2500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9041364?auc=true,149000
2016,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,red,2500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9272003?auc=true,369000
2011,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,white,2500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725632?auc=true,149000
2010,Mazda,3,1.6,Spirit,Sedan,AT,5.0,10.0,silver,2500,2023-10-25,mazda-3-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725630?auc=true,149000
2012,Mazda,2,1.5,Groove,Sedan,AT,9.0,14.0,sky,2500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11575731?auc=true,179000
2019,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,25.0,gray,2500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12036097?auc=true,319000
2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,152500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12802230,345000
2017,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,brown,62471,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/9388042?auc=true,399000
2019,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,white,25889,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12561432?auc=true,389000
2022,Mazda,3,2.0,SP Sports,Hatchback,AT,19.0,24.0,gray,22500,2023-10-25,mazda-3-sp-sports-ภาคตะวันออก-อำเภอเมืองชลบุรี/12823633?auc=true,799000
2016,Mazda,3,2.0,E Sports,Hatchback,AT,14.0,18.0,red,112500,2023-10-25,mazda-3-e-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12150015?auc=true,339000
2014,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,white,92500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12598454,365000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,blue,66140,2023-10-25,mazda-2-sports-high-connect-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12815828?auc=true,409000
