id,name,cost,mile,status,color,gear,web,webid,date
653,2017 Mazda 2 1.5 (ปี 15-25) XD High Connect Sedan,"348,000",10 - 15K km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12831884
",2023-10-25
654,2014 Mazda 3 2.0 (ปี 14-18) SP Sports Hatchback,"339,000",155 - 160K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-sp-sports-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12794826
",2023-10-25
655,2010 Mazda RX-8 1.3 (ปี 03-08) Roadster Coupe,"815,000",60 - 65K km,รถมือสอง,สีเงิน,เกียร์อัตโนมัติ,one2car,"mazda-rx-8-roadster-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11929445
",2023-10-25
656,2012 Mazda 3 2.0 (ปี 11-14) Maxx Sports Hatchback,"279,000",296959 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-3-maxx-sports-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/12621624?auc=true
",2023-10-25
657,2014 Mazda CX-5 2.0 (ปี 13-16) S SUV,"458,000",165 - 170K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/10000983?auc=true
",2023-10-25
658,2016 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"318,000",100471 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12762155
",2023-10-25
659,2020 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"439,000",0 - 5K km,รถมือสอง,สีเงิน,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12431361?auc=true
",2023-10-25
660,2012 Mazda 2 1.5 (ปี 09-14) Elegance Groove Sedan,"165,000",140 - 145K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-elegance-groove-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12730604?auc=true
",2023-10-25
661,2017 Mazda 2 1.3 (ปี 15-25) High Connect Sedan,"319,000",80 - 85K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12784535
",2023-10-25
662,2020 Mazda CX-3 2.0 (ปี 15-22) SP SUV,"629,000",20 - 25K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-3-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12732515?auc=true
",2023-10-25
663,2020 Mazda 2 1.3 (ปี 15-25) S Leather Sedan,"455,000",15 - 20K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-s-leather-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12332539
",2023-10-25
664,2010 Mazda 2 1.5 (ปี 09-14) Groove Sedan,"159,000",0 - 5K km,รถมือสอง,สีดำ,เกียร์ธรรมดา,one2car,"mazda-2-groove-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/10703475
",2023-10-25
665,2017 Mazda CX-3 2.0 (ปี 15-22) S SUV,"479,000",60 - 65K km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-cx-3-s-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12511695
",2023-10-25
666,2017 Mazda CX-3 2.0 (ปี 15-22) SP SUV,"488,000",135 - 140K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-cx-3-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12511804
",2023-10-25
667,2019 Mazda CX-3 2.0 (ปี 15-22) SP SUV,"549,000",40 - 45K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-3-sp-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12669051
",2023-10-25
668,2018 Mazda 3 (ปี 14-18) 2.0 S Sedan AT,"550,000",60 - 65K km,รถมือสอง,สีน้ำเงิน,เกียร์อัตโนมัติ,one2car,"mazda-3-s-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12483556
",2023-10-25
670,2013 Mazda 2 1.5 (ปี 09-14) Elegance Spirit Sedan,"239,000",102039 km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12413881
",2023-10-25
671,2018 Mazda 2 1.3 (ปี 15-25) High Sedan,"379,000",28234 km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-2-high-กรุงเทพและปริมณฑล-อ่อนนุช/8670243
",2023-10-25
672,2010 Mazda 2 1.5 (ปี 09-14) Sports Groove Hatchback,"229,000",90331 km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-groove-ภาคใต้-อำเภอเมืองภูเก็ต/12209863
",2023-10-25
673,2022 Mazda CX-30 2.0 (ปี 20-25) S SUV,"799,000",22147 km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-cx-30-s-ภาคใต้-อำเภอเมืองภูเก็ต/12800692
",2023-10-25
674,2020 Mazda CX-5 2.2 (ปี 17-23) XDL 4WD SUV,"799,000",79505 km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-xdl-ภาคใต้-อำเภอเมืองภูเก็ต/12759831
",2023-10-25
675,2016 Mazda 3 2.0 (ปี 14-18) Racing Series Limited Edition Sedan,"419,000",75 - 80K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-racing-series-limited-edition-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12320080
",2023-10-25
676,2014 Mazda 3 2.0 (ปี 14-18) S Sports Hatchback,"419,000",85 - 90K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12511939
",2023-10-25
677,2018 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"359,000",90 - 95K km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12379727
",2023-10-25
678,2022 Mazda CX-30 2.0 (ปี 20-25) C SUV,"699,000",50 - 55K km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-cx-30-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11645450
",2023-10-25
679,2016 Mazda BT-50 PRO 2.2 FREE STYLE CAB Hi-Racer Pickup,"298,000",120 - 125K km,รถมือสอง,สีขาว,เกียร์ธรรมดา,one2car,"mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12533206
",2023-10-25
680,2018 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"379,000",45 - 50K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อ่อนนุช/12653713?auc=true
",2023-10-25
681,2020 Mazda CX-30 2.0 (ปี 20-25) SP SUV AT,"838,000",30000 km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12660712
",2023-10-25
682,2014 Mazda CX-5 2.0 (ปี 13-16) S SUV,"359,900",120 - 125K km,รถมือสอง,สีน้ำเงิน,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-s-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12289485
",2023-10-25
683,2017 Mazda 3 2.0 (ปี 14-18) SP Sports Hatchback AT,"528,000",120000 km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11992227
",2023-10-25
684,2020 Mazda 3 2.0 (ปี 19-24) SP Sedan AT,"738,000",90000 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-3-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12141577
",2023-10-25
685,2016 Mazda 3 2.0 (ปี 14-18) S Sedan,"519,000",90 - 95K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11899700?auc=true
",2023-10-25
686,2021 Mazda 3 2.0 (ปี 19-24) Sports 100th Anniversary Edition Hatchback AT,"838,000",40000 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-3-sports-100th-anniversary-edition-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12604478
",2023-10-25
687,2020 Mazda 2 1.3 (ปี 15-22) S Sports Hatchback,"449,000",80 - 85K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-s-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11677776?auc=true
",2023-10-25
688,2012 Mazda 2 1.5 (ปี 09-14) Elegance Groove Sedan,"179,000",115 - 120K km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-2-elegance-groove-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12566610?auc=true
",2023-10-25
689,2020 Mazda 2 1.3 (ปี 15-25) High Connect Sedan,"389,000",50 - 55K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-high-connect-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/11961517?auc=true
",2023-10-25
690,2010 Mazda 2 1.5 (ปี 09-14) S Hatchback,"179,000",150 - 155K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-s-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12721547?auc=true
",2023-10-25
691,2019 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"421,900",45 - 50K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12780942
",2023-10-25
692,2014 Mazda BT-50 PRO 2.2 FREE STYLE CAB Hi-Racer PROSERIES Pickup,"299,000",190 - 195K km,รถมือสอง,สีขาว,เกียร์ธรรมดา,one2car,"mazda-bt-50-pro-hi-racer-proseries-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12820323
",2023-10-25
