id,year,tabian,name,addName,salePrice,notSalePrice,distance,fuel,gear,color,injure,door,address,web,webid,date
15,2017,ขร-3429,2017 Mazda 2,1.3 Skyactiv High Connect,"353,300","363,400","64,911",เบนซิน,เกียร์อัตโนมัติ,เทา,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640036807/
",2023-10-28
16,2017,กฉ-8101,2017 Mazda 2,1.3 Skyactiv High Plus,"361,000","374,900","101,644",เบนซิน,เกียร์อัตโนมัติ,ขาว,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640032375/
",2023-10-28
17,2017,กย-5979,2017 Mazda 2,1.3 Skyactiv High Connect,"359,700","374,000","84,744",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640033970/
",2023-10-28
18,2018,ขย-6317,2018 Mazda 2,1.3 Skyactiv High Connect,"372,000","376,900","110,429",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640034461/
",2023-10-28
19,2019,กอ-965,2018 Mazda 2,1.3 Skyactiv High Plus,"402,700","428,200","40,190",เบนซิน,เกียร์อัตโนมัติ,ขาว,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Steering Handle  -  Steering cover torn/damagedมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640029007/
",2023-10-28
20,2018,ขฮ-1285,2018 Mazda 2,1.3 Skyactiv High Connect,"364,400","367,400","122,720",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640004410/
",2023-10-28
21,2018,กฮ-4154,2018 Mazda 2,1.3 Skyactiv High Connect,"372,000","376,900","118,953",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,พบตำหนิเล็กน้อย 2 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Tyre + RHS Rear  -  Alloy scratchedExterior + Tyres + Tyre + LHS Front  -  Alloy scratched Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640037635/
",2023-10-28
22,2018,กธ-991,2018 Mazda 2,1.3 Skyactiv High Plus,"398,700","425,900","53,409",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640035132/
",2023-10-28
23,2018,ขธ-4371,2018 Mazda 2,1.3 Skyactiv High Connect,"380,800","396,500","94,288",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Dashboard  -  Damage/ stain/ scratchมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612016985/
",2023-10-28
24,2018,กม-5067,2018 Mazda 2,1.3 Skyactiv Sports High Plus,"386,700","411,200","105,121",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640020352/
",2023-10-28
25,2018,กบ-2943,2018 Mazda 2,1.3 Skyactiv High Plus,"378,800","402,700","132,776",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640035955/
",2023-10-28
26,2018,กฮ-2590,2018 Mazda 2,1.3 Skyactiv High Connect,"372,000","376,900","112,081",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Grill  -  Paint defectมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640008003/
",2023-10-28
27,2019,ขล-4756,2019 Mazda 2,1.3 Skyactiv High Connect,,"401,400","77,895",เบนซิน,เกียร์อัตโนมัติ,เทา,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Ceiling  -  Roof lining torn/dirty (exclude religious marking)มาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640043488/
",2023-10-28
28,2019,กด-6044,2019 Mazda 2,1.3 Skyactiv High Connect,"391,600","401,400","82,241",เบนซิน,เกียร์อัตโนมัติ,ขาว,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Bumper + Front  -  Crackedมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612021035/
",2023-10-28
29,2020,กศ-954,2019 Mazda 2,1.3 Skyactiv-G S Leather Sedan,,"439,700","49,464",เบนซิน,เกียร์อัตโนมัติ,ดำ,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640043574/
",2023-10-28
30,2019,กท-9231,2019 Mazda 3,2.0 S,"502,200","601,400","111,945",เบนซิน,เกียร์อัตโนมัติ,เทา,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Window Switch/Handle + RHS Front  -  Switch/handle damagedมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640008111/
",2023-10-28
31,2019,ขญ-4096,2019 Mazda 2,1.3 Skyactiv High Connect,"369,700","381,100","118,666",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612014606/
",2023-10-28
32,2019,กถ-4640,2019 Mazda 2,1.3 Skyactiv High Plus,"423,900","449,200","36,233",เบนซิน,เกียร์อัตโนมัติ,ดำ,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640037711/
",2023-10-28
