iter	Passed	Remaining
716	985	389
717	986	387
718	988	386
719	989	384
720	990	383
721	991	381
722	992	380
723	994	378
724	995	377
725	996	376
726	997	374
727	998	373
728	999	371
729	1000	370
730	1002	368
731	1003	367
732	1004	365
733	1005	364
734	1006	362
735	1007	361
736	1009	360
737	1010	358
738	1011	357
739	1012	355
740	1013	354
741	1015	352
742	1016	351
743	1017	350
744	1018	348
745	1019	347
746	1020	345
747	1021	344
748	1022	342
749	1024	341
750	1025	339
751	1026	338
752	1028	337
753	1029	335
754	1030	334
755	1031	333
756	1032	331
757	1034	330
758	1035	328
759	1036	327
760	1037	325
761	1038	324
762	1039	323
763	1041	321
764	1042	320
765	1044	318
766	1045	317
767	1046	316
768	1047	314
769	1048	313
770	1049	311
771	1051	310
772	1052	309
773	1053	307
774	1054	306
775	1055	304
776	1056	303
777	1058	301
778	1059	300
779	1060	299
780	1061	297
781	1062	296
782	1064	294
783	1065	293
784	1066	292
785	1067	290
786	1068	289
787	1070	287
788	1071	286
789	1072	285
790	1073	283
791	1074	282
792	1076	280
793	1077	279
794	1078	278
795	1079	276
796	1081	275
797	1082	273
798	1083	272
799	1084	271
800	1085	269
801	1087	268
802	1088	266
803	1089	265
804	1090	264
805	1091	262
806	1093	261
807	1094	260
808	1095	258
809	1096	257
810	1098	255
811	1099	254
812	1100	253
813	1101	251
814	1102	250
815	1104	248
816	1105	247
817	1106	246
818	1107	244
819	1108	243
820	1109	241
821	1111	240
822	1112	239
823	1113	237
824	1114	236
825	1115	235
826	1117	233
827	1118	232
828	1119	230
829	1120	229
830	1122	228
831	1123	226
832	1124	225
833	1125	224
834	1126	222
835	1128	221
836	1129	219
837	1130	218
838	1131	217
839	1132	215
840	1134	214
841	1135	213
842	1136	211
843	1137	210
844	1138	208
845	1140	207
846	1141	206
847	1142	204
848	1143	203
849	1144	202
850	1145	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1152	193
856	1153	192
857	1154	191
858	1155	189
859	1156	188
860	1158	186
861	1159	185
862	1160	184
863	1161	182
864	1163	181
865	1164	180
866	1165	178
867	1166	177
868	1167	176
869	1168	174
870	1170	173
871	1171	171
872	1172	170
873	1173	169
874	1174	167
875	1176	166
876	1177	165
877	1178	163
878	1179	162
879	1180	161
880	1182	159
881	1183	158
882	1184	156
883	1185	155
884	1186	154
885	1188	152
886	1189	151
887	1190	150
888	1191	148
889	1193	147
890	1194	146
891	1196	144
892	1197	143
893	1198	142
894	1199	140
895	1200	139
896	1202	138
897	1203	136
898	1204	135
899	1205	133
900	1206	132
901	1208	131
902	1209	129
903	1210	128
904	1211	127
905	1213	125
906	1214	124
907	1215	123
908	1216	121
909	1217	120
910	1219	119
911	1220	117
912	1221	116
913	1222	115
914	1224	113
915	1225	112
916	1226	111
917	1228	109
918	1229	108
919	1230	107
920	1232	105
921	1233	104
922	1234	102
923	1236	101
924	1237	100
925	1238	98
926	1239	97
927	1240	96
928	1242	94
929	1243	93
930	1244	92
931	1245	90
932	1246	89
933	1248	88
934	1249	86
935	1250	85
936	1251	84
937	1252	82
938	1254	81
939	1255	80
940	1256	78
941	1258	77
942	1259	76
943	1260	74
944	1261	73
945	1262	72
946	1264	70
947	1265	69
948	1266	68
949	1267	66
950	1268	65
951	1270	64
952	1271	62
953	1272	61
954	1273	60
955	1275	58
956	1276	57
957	1277	56
958	1278	54
959	1279	53
960	1280	51
961	1282	50
962	1283	49
963	1285	47
964	1286	46
965	1287	45
966	1288	43
967	1290	42
968	1291	41
969	1292	39
970	1293	38
971	1294	37
972	1296	35
973	1297	34
974	1298	33
975	1300	31
976	1301	30
977	1302	29
978	1303	27
979	1304	26
980	1306	25
981	1307	23
982	1308	22
983	1309	21
984	1310	19
985	1312	18
986	1313	17
987	1314	15
988	1316	14
989	1317	13
990	1318	11
991	1319	10
992	1320	9
993	1322	7
994	1323	6
995	1324	5
996	1325	3
997	1326	2
998	1328	1
999	1329	0
