iter	RMSE
275	52087.67303
276	52068.97721
277	52030.81376
278	52004.70114
279	51986.67577
280	51915.49006
281	51892.51021
282	51859.71618
283	51841.62112
284	51801.81956
285	51759.0829
286	51741.01667
287	51698.56909
288	51625.50181
289	51606.11159
290	51588.37817
291	51535.30094
292	51496.91086
293	51474.92463
294	51448.5842
295	51417.78908
296	51399.23239
297	51333.14759
298	51309.91273
299	51289.36755
300	51252.91884
301	51232.17698
302	51202.04534
303	51168.02402
304	51147.69012
305	51076.46455
306	51047.95099
307	51006.48448
308	50946.22745
309	50904.03168
310	50866.6735
311	50839.7443
312	50821.22115
313	50750.91817
314	50704.0302
315	50670.42038
316	50639.89751
317	50600.89714
318	50575.66691
319	50560.41558
320	50527.53499
321	50502.3536
322	50483.19227
323	50445.92279
324	50389.81623
325	50361.8678
326	50337.32941
327	50323.34706
328	50293.01942
329	50266.74799
330	50214.38923
331	50200.95564
332	50153.47941
333	50124.25141
334	50081.9795
335	50069.18874
336	50040.0921
337	50016.20702
338	50006.55391
339	49963.79663
340	49944.53285
341	49927.28677
342	49912.89369
343	49888.03509
344	49867.26393
345	49823.94449
346	49787.53299
347	49757.96881
348	49714.71457
349	49701.52698
350	49667.71745
351	49638.95778
352	49610.10892
353	49588.4312
354	49522.81416
355	49506.08503
356	49462.74167
357	49450.08612
358	49415.64839
359	49401.20121
360	49379.35882
361	49346.16746
362	49312.88145
363	49284.86019
364	49251.86285
365	49240.69798
366	49224.15111
367	49187.38815
368	49160.98365
369	49131.213
370	49104.3579
371	49066.67568
372	49027.66467
373	48997.06121
374	48970.33317
375	48954.20764
376	48936.50852
377	48918.05853
378	48902.0158
379	48879.02807
380	48859.26093
381	48819.97035
382	48799.84117
383	48744.59432
384	48715.88509
385	48706.00458
386	48675.79339
387	48659.99266
388	48646.46864
389	48621.50958
390	48612.14218
391	48594.20775
392	48556.58011
393	48529.17738
394	48508.26376
395	48489.0322
396	48462.19403
397	48448.13055
398	48429.59496
399	48407.48188
400	48395.70628
401	48347.79316
402	48334.82616
403	48305.44771
404	48281.87733
405	48263.34522
406	48217.95668
407	48204.31611
408	48189.52554
409	48162.23414
410	48151.48327
411	48127.01659
412	48105.70183
413	48089.10586
414	48073.72772
415	48047.13244
416	48026.58685
417	48016.11481
418	47999.6725
419	47956.46977
420	47924.3943
421	47910.13649
422	47896.75536
423	47875.63652
424	47854.85367
425	47839.6146
426	47809.51291
427	47783.82467
428	47776.3278
429	47760.43442
430	47739.26307
431	47695.11733
432	47674.00128
433	47661.6712
434	47638.95144
435	47627.00484
436	47613.85564
437	47567.30267
438	47551.48945
439	47515.48039
440	47486.87536
441	47452.48309
442	47426.04259
443	47415.50377
444	47400.32907
445	47376.85945
446	47337.74678
447	47296.53792
448	47271.09062
449	47265.79071
450	47251.76836
451	47232.97351
452	47199.35389
453	47184.0896
454	47176.761
455	47155.32172
456	47122.97972
457	47102.59042
458	47080.24783
459	47060.71982
460	47038.70523
461	47023.44546
462	46997.92152
463	46957.95467
464	46951.13728
465	46932.50329
466	46897.98594
467	46861.22416
468	46844.84356
469	46830.2498
470	46809.9051
471	46798.33585
472	46783.64333
473	46772.34609
474	46766.11393
475	46721.9438
476	46708.03507
477	46697.31029
478	46688.41472
479	46678.5192
480	46634.25048
481	46610.18458
482	46588.70416
483	46564.44795
484	46542.55487
485	46529.86993
486	46523.28299
487	46511.1699
488	46493.19729
489	46483.01953
490	46472.07342
491	46453.96795
492	46436.72997
493	46430.34439
494	46412.17175
495	46403.62514
496	46382.58724
497	46370.84914
498	46347.99512
499	46323.41451
500	46311.99461
501	46291.97758
502	46269.09762
503	46249.41804
504	46233.18968
505	46192.22037
506	46165.70869
507	46144.81495
508	46127.67453
509	46100.77615
510	46082.73233
511	46062.03323
512	46052.5117
513	46032.26192
514	46015.37548
515	46000.75958
516	45992.69349
517	45983.13536
518	45957.15169
519	45947.68789
520	45903.78256
521	45882.41584
522	45863.91046
523	45856.74869
524	45843.24451
525	45830.53907
526	45822.64667
527	45807.54859
528	45782.18633
529	45769.63149
530	45759.24601
531	45740.30767
532	45704.96085
533	45662.21985
534	45651.01018
535	45632.56201
536	45613.46325
537	45602.35088
538	45572.92928
539	45557.36908
540	45545.84946
541	45524.80717
542	45488.10111
543	45461.57301
544	45423.86528
545	45414.72622
546	45399.09733
547	45386.2314
548	45370.13911
549	45354.51311
550	45338.69635
551	45305.55962
552	45294.43584
553	45278.64273
554	45270.02772
555	45249.57031
556	45236.64041
557	45220.56097
558	45208.84414
559	45190.55523
560	45185.10598
561	45150.63399
562	45136.27212
563	45123.5006
564	45115.76664
565	45107.84132
566	45088.27296
567	45080.56809
568	45045.96849
569	45032.19261
570	45024.86954
571	45009.08827
572	44997.64607
573	44984.03995
574	44959.10665
575	44953.32219
576	44945.75144
577	44930.65023
578	44907.78846
579	44902.97977
580	44890.61293
581	44872.15443
582	44860.03772
583	44851.22174
584	44823.26302
585	44812.26017
586	44775.49576
587	44761.94232
588	44722.94706
589	44711.59305
590	44671.52505
591	44664.17108
592	44640.66168
593	44628.91156
594	44617.77981
595	44564.13825
596	44553.61892
597	44544.2231
598	44536.98985
599	44509.16579
600	44488.31894
601	44474.82737
602	44465.57065
603	44446.64485
604	44424.82432
605	44409.75697
606	44397.00569
607	44368.69704
608	44354.38376
609	44320.97123
610	44306.34656
611	44287.97731
612	44278.91223
613	44265.65141
614	44245.89283
615	44223.83478
616	44211.11786
617	44198.97295
618	44180.88391
619	44162.20968
620	44146.03381
621	44139.19182
622	44121.19004
623	44104.44632
624	44072.40468
625	44061.38936
626	44034.81766
627	44027.43399
628	44017.62942
629	44000.84098
630	43971.86575
631	43935.53218
632	43926.40661
633	43895.81682
634	43885.45424
635	43876.57356
636	43857.83693
637	43850.96156
638	43847.07717
639	43837.20237
640	43817.99873
641	43805.83595
642	43796.24096
643	43778.25214
644	43747.34663
645	43731.4557
646	43721.05726
647	43700.24528
648	43689.15201
649	43680.10466
650	43664.59572
651	43636.33866
652	43628.60929
653	43616.98482
654	43608.86047
655	43593.69587
656	43573.92546
657	43553.58896
658	43541.57131
659	43521.51464
660	43507.46439
661	43497.94705
662	43482.36605
663	43476.39207
664	43443.15556
665	43430.80899
666	43394.24981
667	43366.54639
668	43339.90081
669	43331.50345
670	43313.99257
671	43301.9216
672	43279.14326
673	43270.84892
674	43256.00185
675	43226.56604
676	43217.33061
677	43190.13798
678	43178.88743
679	43172.16925
680	43150.032
681	43137.80508
682	43117.09445
683	43108.24156
684	43096.58395
685	43075.95432
686	43057.31218
687	43046.88962
688	43031.14492
689	43016.26341
690	43010.38395
691	42986.01514
692	42969.12166
693	42962.14916
694	42931.35395
695	42903.07329
696	42883.85742
697	42865.5398
698	42860.403
699	42838.20619
700	42823.07
701	42803.99712
702	42789.31183
703	42767.32119
704	42762.95209
705	42745.18988
706	42737.07481
707	42712.88685
708	42698.21498
709	42694.28366
710	42687.08521
711	42669.97673
712	42662.66678
713	42647.81767
714	42633.79725
715	42625.5066
716	42619.5369
717	42590.00096
718	42585.09149
719	42574.44177
720	42557.58513
721	42552.06528
722	42538.50276
723	42530.86225
724	42518.94312
725	42511.65327
726	42508.42067
727	42496.21496
728	42468.33427
729	42444.25571
730	42432.36806
731	42406.43297
732	42396.96717
733	42386.75088
734	42373.71443
735	42367.80646
736	42357.13269
737	42338.27703
738	42326.94878
739	42319.42363
740	42312.15193
741	42306.62704
742	42300.628
743	42274.10993
744	42268.5786
745	42253.82377
746	42238.75832
747	42226.20694
748	42217.48989
749	42184.43207
750	42160.42968
751	42153.14488
752	42145.62183
753	42136.22088
754	42127.40966
755	42105.73648
756	42097.95535
757	42088.89869
758	42071.51318
759	42068.0449
760	42060.51217
761	42051.06312
762	42041.42179
763	42032.6287
764	42017.99114
765	41999.78276
766	41994.17912
767	41970.37606
768	41965.53684
769	41941.97991
770	41931.54803
771	41905.47709
772	41888.20965
773	41860.15576
774	41833.31178
775	41826.34976
776	41818.94881
777	41786.80115
778	41773.13586
779	41767.41763
780	41751.3931
781	41734.18887
782	41714.30852
783	41708.8107
784	41695.23101
785	41678.79929
786	41666.51078
787	41651.12632
788	41641.38449
789	41625.56107
790	41615.55371
791	41592.09889
792	41582.08163
793	41562.40157
794	41557.91343
795	41546.62524
796	41501.87622
797	41496.72368
798	41480.09315
799	41477.6575
800	41465.23279
801	41447.74737
802	41414.66047
803	41407.22952
804	41393.66475
805	41382.2906
806	41364.29306
807	41348.89948
808	41338.46637
809	41311.89834
810	41299.31583
811	41287.95808
812	41269.60626
813	41264.74406
814	41256.31054
815	41251.27843
816	41239.31442
817	41233.44674
818	41214.02713
819	41191.31838
820	41181.5193
821	41164.1832
822	41157.9343
823	41148.61875
824	41139.3497
825	41131.27188
826	41123.43777
827	41114.60679
828	41098.1276
829	41084.26681
830	41071.35291
831	41065.13271
832	41035.30793
833	41030.60125
834	41003.60997
835	40996.63555
836	40981.92869
837	40971.25327
838	40950.72496
839	40941.58773
840	40912.71697
841	40890.5232
842	40880.31533
843	40870.58613
844	40865.69534
845	40853.47969
846	40841.67671
847	40828.39626
848	40808.72546
849	40797.12248
850	40790.97583
851	40776.0121
852	40759.19827
853	40744.43526
854	40738.43826
855	40720.66792
856	40709.4313
857	40697.73042
858	40688.10693
859	40683.68896
860	40673.01022
861	40658.94119
862	40650.40497
863	40642.15285
864	40636.0418
865	40616.22694
866	40588.50838
867	40576.48454
868	40566.75786
869	40559.30541
870	40535.95247
871	40528.15632
872	40507.38976
873	40501.79757
874	40490.47228
875	40486.15217
876	40473.06064
877	40465.8537
878	40454.59753
879	40450.18715
880	40439.22791
881	40432.27184
882	40428.01388
883	40418.44971
884	40402.49732
885	40393.12334
886	40375.78992
887	40365.83644
888	40351.91982
889	40344.79221
890	40336.64047
891	40323.40028
892	40313.53904
893	40295.91022
894	40291.59386
895	40281.00779
896	40278.10202
897	40271.07968
898	40262.75728
899	40252.30928
900	40240.40481
901	40230.29379
902	40223.22963
903	40215.45186
904	40189.63735
905	40169.52886
906	40155.06555
907	40148.38314
908	40141.62183
909	40135.67783
910	40119.46976
911	40105.3107
912	40095.75757
913	40084.30409
914	40081.82267
915	40075.37092
916	40067.70241
917	40058.20978
918	40053.49878
919	40043.8244
920	40030.2307
921	40015.28334
922	40006.23842
923	39999.75939
924	39991.89345
925	39983.48093
926	39975.97171
927	39965.46561
928	39949.8483
929	39937.30658
930	39931.98582
931	39914.50092
932	39913.13162
933	39895.70602
934	39887.21194
935	39882.20104
936	39873.18026
937	39869.12402
938	39859.00516
939	39845.80829
940	39836.00328
941	39821.88278
942	39813.4362
943	39807.91443
944	39801.77508
945	39794.62357
946	39784.98306
947	39777.14694
948	39770.81608
949	39759.24065
950	39753.55077
951	39728.4388
952	39711.29131
953	39687.61796
954	39663.54193
955	39640.45826
956	39630.8694
957	39608.8247
958	39602.4505
959	39596.87542
960	39587.14847
961	39584.06664
962	39572.98149
963	39567.07069
964	39546.18352
965	39534.32386
966	39522.5042
967	39512.80226
968	39505.25138
969	39496.91661
970	39489.8124
971	39479.64942
972	39468.29746
973	39463.38545
974	39457.74719
975	39451.73675
976	39432.81872
977	39416.94531
978	39398.25972
979	39388.33727
980	39376.9665
981	39366.24093
982	39358.09425
983	39347.40956
984	39331.67365
985	39322.87583
986	39310.34624
987	39305.01353
988	39297.52963
989	39288.73703
990	39280.4695
991	39273.12183
992	39266.86808
993	39247.76345
994	39239.1503
995	39228.1751
996	39221.66786
997	39218.18974
998	39207.60892
999	39174.26793
